imdb_id,name
nm0266234,Karl Falkenberg
nm0219905,Clara Denvil
nm0335908,Gioacchino Grassi
nm0624446,Fernanda Negri Pouget
nm0784814,Sergio Serafini
nm0035156,Judith Arlen
nm0702773,José Quaglio
nm0381428,Hesperia
nm0105970,Hans Brausewetter
nm6208384,Violetto Polignoni
nm4703840,Kriejelstein
nm0595772,Linda Moglia
nm2667747,Nino Tarabini
nm2449581,Margherita Donadoni
nm0912478,H.B. Warner
nm0728818,Gerhard Ritterband
nm0180920,Adrienne Corri
nm0066745,Luisella Beghi
nm1300657,Sigrid Lind
nm0887030,Rob van Hattum
nm0738112,André Rolane
nm0563991,Mary McAllister
nm0073264,Ciro Berardi
nm1919296,John Fostini
nm0162321,Giovanni Cimara
nm0303416,Tullio Galvani
nm2652934,Abraham J. Cantu
nm2709115,Signor De Renzis
nm0622095,Nazzareno Natale
nm0133949,Bruno Canfora
nm0749435,Vincenzo Ruggeri
nm1246348,Massimo De Vita
nm0895766,Enrico Viarisio
nm0705304,Elvira Radaelli
nm2680941,Elena Mazzantini
nm0961535,Dino Peretti
nm0744779,Ann Roth
nm0139542,Vittoria Carpi
nm0473084,Julian Krzewinski
nm1295384,Raffaello Vinci
nm0529313,Bert Lytell
nm0847790,Gino Talamo
nm4141888,Franco Sabani
nm0360389,Nicholas Hannen
nm0156127,Carlo Chertier
nm1513704,Piero Concialdi
nm0433332,Pierre Juvenet
nm0016625,Anna Lina Alberti
nm1047035,Henri Trévoux
nm0556401,Ester Masing
nm1916496,Giovanni Grasso Sr.
nm2238046,Mario Morelli
nm0201030,Edy Darclea
nm0239495,André Dubosc
nm3803683,Angelo Giovanelli
nm0667419,Hedwig Pauly-Winterstein
nm0182414,Rolando Costantino
nm0598712,Nella Montagna
nm0268072,Ana Farra
nm0723918,Pierre Richard-Willm
nm0563561,Gilberto Mazzi
nm0199542,Claudio Dani
nm1866186,Giuseppe Nessi
nm0470328,Werner Krauss
nm0124490,Ezio Busso
nm0029523,Lia Angeleri
nm2670847,Yvonne Reggia
nm0160130,Mady Christians
nm1169716,Irma De Simone
nm1406008,Anna Berni
nm1302130,Enrico Sabbatini
nm0538729,Helena Makowska
nm1302504,Spiridonoff
nm0039489,Paul Askonas
nm0346293,Giovanni Guerrieri
nm2678089,Il Piccolo Arturo
nm1301222,Dolly Morgan
nm0885339,Bice Valori
nm0953131,Lucia Zanussi
nm0035455,Henry Armetta
nm1268180,Noemi De Ferrari
nm0001330,Sterling Hayden
nm2488541,Myriel
nm0579634,Mario Meniconi
nm0109263,Giuseppe Brignone
nm0208563,Elsa De Giorgi
nm1370739,Francesco Gargano
nm0080572,Suzanne Bianchetti
nm0317624,Silvio Gigli
nm0231256,Jane Dolys
nm0768922,Franco Scandurra
nm2669292,Clara Zambonelli
nm1296566,John Work
nm0321500,Giovanni Gizzi
nm0855722,Renato Terra
nm0024847,Sergio Amidei
nm0303120,Carmine Gallone
nm0775180,Max Schreck
nm0000007,Humphrey Bogart
nm2791903,Fax Carletti
nm0117868,Franco Bucceri
nm0078116,Francesca Bertini
nm1316056,Enta Troubetskoy
nm1292460,Giulio Grassi
nm0608311,Gastone Moschin
nm0559862,Andrea Matteuzzi
nm0137706,Ida Carloni Talli
nm0617565,Albert Médina
nm0706221,Dino Raffaelli
nm0146709,Alberto Cavalcanti
nm0684960,Ugo Piperno
nm0106387,Rossano Brazzi
nm0487137,Diana Lante
nm0541973,Gianni Manera
nm0898743,Roger Vincent
nm1333550,Adriana Costamagna
nm0153713,Charley Chase
nm0865028,Bianca Toccafondi
nm2668972,Liane D'Orland
nm0133174,Anna Campori
nm0869687,Georges Tourreil
nm0458635,Adolf Klein
nm3228215,Armando Spadaro
nm0889281,Scilla Vannucci
nm1080087,Kurt Winkler
nm0073065,Vittorina Benvenuti
nm0203836,Marion Davies
nm0314967,Marion Gerth
nm0031355,Gabriele Antonini
nm0024139,Alberto Amato
nm1009425,Irene Gay
nm2718631,Linda Mozzato
nm9147268,Annamaria Borgonovo
nm0181747,Ello Cosci
nm1054253,Louise Pager
nm0279914,Enzo Fisichella
nm0133062,Luciana Campion
nm0010185,Enrique Acosta
nm0080763,Renzo Bianconi
nm2500842,Mario Regoli
nm0220700,Jo Dervo
nm0858160,Hans Thimig
nm0847851,Odette Talazac
nm0543029,Theo Mann-Bouwmeester
nm0818824,Maria Grazia Spina
nm0308236,Fabio Garriba
nm0215824,Jack Del Rio
nm0665728,Marie Paton
nm0900063,Beatrice Vitoldi
nm2671797,Gennaro De Crescenzo
nm0003377,Harry Langdon
nm0873351,Amalia Troiani
nm0146845,Olimpia Cavalli
nm2711310,Riccardo D'Istri
nm0259599,Claudio Ermelli
nm0744174,Ezio Rossi
nm0430955,Josyane
nm0016208,Wolf Albach-Retty
nm0185825,David Craig
nm0386830,Coen Hissink
nm0946238,Varvara Yanova
nm1526163,Serge Peretti
nm0187584,Pierre Cressoy
nm0683888,Renato Pinciroli
nm0075237,Siegfried Berisch
nm0884422,Carlo Valenzano
nm0827981,Giuseppe Sterni
nm0664257,Gabriel Pascal
nm0727397,Rinaldo Rinaldi
nm0557831,Augusto Mastripietri
nm0312633,Osvaldo Genazzani
nm0594291,Tom Mix
nm0874298,Ralph Truman
nm0649959,Lia Orlandini
nm0872282,Giorgio Trestini
nm0854661,Giotto Tempestini
nm8737887,Giuseppe Masi
nm2523491,Giovanni Cussotta
nm0037876,Consalvo Dell'Arti
nm0676131,Emilio Petacci
nm0682595,Giuseppe Pierozzi
nm0112423,Albert Broquin
nm1159058,A. Glauberman
nm1100228,Lorenzo Soderini
nm0220534,Enrique de Rosas
nm0607864,Edmund Mortimer
nm0547049,Aldo Marianecci
nm0563567,Franco Mazzieri
nm0001120,Vittorio De Sica
nm1941970,Jolanda Verdirosi
nm0059012,Marisa Bartoli
nm0002231,Gian Maria Volontè
nm0726741,Massimo Righi
nm0315780,Emilio Ghione
nm1291833,Mademoiselle De Chantereau
nm0298184,Brook Fuller
nm1261754,Else Wasa
nm6208382,Ferdy Martin
nm7359629,Mario Bellini
nm0603386,Gabriel Moreau
nm0313065,Fedele Gentile
nm5403221,Egidio Meda
nm0557167,Aldo Massasso
nm0743104,Paola Rosmino
nm0162554,Gabriella Cioli
nm4723013,Lyta Alas
nm0069166,Marco Bellocchio
nm0564219,May McAvoy
nm0311168,Nando Gazzolo
nm0820938,Ivano Staccioli
nm0796222,Stefano Sibaldi
nm0860430,Lotus Thompson
nm0868456,David Torrence
nm1987436,Amerigo Bombrazzi
nm0272360,Al Ferguson
nm0584021,Adriano Micantoni
nm3875526,Gloria Christian
nm0117751,Rosolino Bua
nm0527696,Jeannie Luxeuil
nm0603279,Nietta Mordeglia
nm0264716,Hermann Fabri
nm1715431,Lia Jannantuono
nm0810676,Rinaldo Smordoni
nm0925904,Greg Whitespear
nm2456886,Maria Antonellini
nm0511729,Max Linder
nm0037704,Mario Artese
nm0078644,Claudio Besestri
nm0467185,Theodore Kosloff
nm2492357,Goffredo Savi
nm0805701,Martha Sleeper
nm0654525,Lech Owron
nm0389043,Otto Hoffman
nm0682544,Vittorio Pieri
nm2457065,Giorgio Genevois
nm0059716,Georg Baselt
nm1015544,Arturo Saccarino
nm0572135,Clifford McLaglen
nm1505024,Teodoro Pescara Pateras
nm0490404,Tina Lattanzi
nm0681312,Gianna Piaz
nm0805694,Philip Sleeman
nm0605851,Gaby Morlay
nm0080676,Alfredo Bianchini
nm1270497,Antonio Venturi
nm0758986,Louis Salou
nm1086347,Giulio Platone
nm0304989,Aristide Garbini
nm0681233,Massimo Pianforini
nm1531100,Ludovico Bendiner
nm0297054,Gustav Fröhlich
nm4750104,Cecil Pelan
nm1742103,August Junker
nm0021708,Marian Alma
nm1241788,Sergio Mari
nm5474318,Rosanna Incerti
nm0842677,Nora Swinburne
nm0635371,Assia Noris
nm0896331,Henri Vidal
nm0053582,Ciccio Barbi
nm0501902,Paul Leni
nm0313308,Georg John
nm0563670,Franca Mazzoni
nm1015509,Bruno Rizzi
nm1169260,Antonio Mesfun
nm1288842,Vera Vergani
nm2494134,Thea Sprenger
nm0147854,Elisa Cegani
nm9380344,Els Burger
nm1437917,Vivina Ungari
nm0336618,Eve Gray
nm0131206,Nino Camarda
nm0741147,Françoise Rosay
nm0654530,Monroe Owsley
nm1298492,Franco Caimmi
nm1709102,Grethel Stein
nm0094801,Mario Bonnard
nm0736216,Emil Roe
nm0563462,Mario Mazza
nm0040084,Betty Astor
nm0199545,Nora Dani
nm1299689,Signor Guacci
nm0738113,Andrée Rolane
nm0462791,Manfred Koempel-Pilot
nm1035410,Ciro Galvani
nm0256673,Serge Emrich
nm0537706,Elisa Mainardi
nm0867923,Attilio Torelli
nm4151076,Fausto Banchelli
nm0867966,Sylvia Torf
nm0818245,Esperia Sperani
nm0664698,Alberto Pasquali
nm0147109,Augusto Caverzasio
nm0934306,Woodrow Wilson
nm1164035,Roberto D'Antonio
nm0873724,Youcca Troubetzkov
nm0503997,Peter C. Leska
nm0249379,Thomas A. Edison
nm3939608,Gianni Gazzoti
nm0738041,Gil Roland
nm0662685,Luisa Rivelli
nm3927079,Gabriella Fabrizio
nm0648859,Umberto Onorato
nm1772495,Andreas Behrens-Klausen
nm0080614,Tino Bianchi
nm4148905,M. Bizot
nm0454404,King Victor Emmanuel III
nm1085151,Dino Conturso
nm0244598,Eleonora Duse
nm0209739,Regana De Liguoro
nm2792439,Alberto Irazu
nm0070728,Wanda Benedetti
nm1299620,Tatiana Gorka
nm0699019,Denise Provence
nm0759372,Alfredo Salvatori
nm0637709,Bebi Nucci
nm0689444,'Snub' Pollard
nm5474256,Rodomonte Morini
nm0516619,Pino Locchi
nm0630171,Claudio Nicola
nm3667494,Pietro Bartoli
nm0623211,Pierre Nay
nm0093710,Pépa Bonafé
nm0237868,Dria Paola
nm2304381,Carlo Theodori
nm0105976,Frigga Braut
nm1111582,Ada Ferrari
nm2030505,Laura Rizzoli
nm0022833,Nino Altieri
nm1048349,Giuliana Verde
nm1167165,Anty Ramazzini
nm1880063,Giovanni Ravenna
nm2668599,G. Galliano
nm0682524,Antonio Pierfederici
nm1134719,Rubin
nm0577010,Ellen Meis
nm0848937,Raffaele Tana
nm0053686,Peter Barbierre
nm0210541,Elda Bruni
nm1526205,Andrea Rinaldi
nm0266886,Franco Fantasia
nm1578009,Maria Beltrami
nm0723279,Enzo Ricciardi
nm2494058,Elisa Apodias
nm0162948,Franco Citti
nm0173174,Maria Pia Colonnello
nm0410297,Katharine Irving
nm2565382,Jesil Gabrielli
nm5403233,Silvio Vecchietti
nm0320988,Massimo Girotti
nm9184655,Briand Premier
nm0249703,Anton Edthofer
nm1722531,Guido Guiducci
nm0487314,Bruno Lanzarini
nm0286665,Mabel Forrest
nm1291445,Antonietta Calderari
nm0786319,Leonardo Severini
nm0299833,Jaro Fürth
nm0894478,Gaetano Verna
nm0491701,Gino Lavagetto
nm1169455,Franco Solba
