imdb_id,name
nm0673035,Eugenio Perego
nm0712304,Gaston Ravel
nm0865998,Riccardo Tolentino
nm0516263,Gerolamo Lo Savio
nm0211158,Camillo De Riso
nm0500846,Tony Lekain
nm0557840,Camillo Mastrocinque
nm0698839,Yakov Protazanov
nm0503777,Mervyn LeRoy
nm0557084,Mario Massa
nm0544490,Amerigo Manzini
nm0009588,Giuseppe Accattino
nm0113284,Clarence Brown
nm0002189,Giuliano Carnimeo
nm0030748,Giulio Antamoro
nm0800625,Renato Simoni
nm0654581,Nino Oxilia
nm2458357,Memmo Genua
nm0558236,Godofredo Mateldi
nm1445368,Attilio Fabbri
nm0003422,Louis King
nm0274683,Mario Ferrero
nm0300898,Giovanna Gagliardo
nm0135421,Alberto Capozzi
nm0952571,Giorgio Zambon
nm0333309,Ugo Gracci
nm0209741,Wladimiro De Liguoro
nm0657535,Amleto Palermi
nm0889400,Pio Vanzi
nm0538966,Nunzio Malasomma
nm0217782,Peter Delpeut
nm0653250,Hans Otto
nm0542649,Anthony Mann
nm0769256,Umberto Scarpelli
nm0759386,Jack Salvatori
nm0484761,Mario Landi
nm0502752,Robert Z. Leonard
nm0920853,Fritz Wendhausen
nm0652302,Franz Osten
nm0294276,Theo Frenkel
nm2669873,Toddi
nm0901502,Alexandre Volkoff
nm0322481,Maurice Gleize
nm0078116,Francesca Bertini
nm0603386,Gabriel Moreau
nm1057323,Giuseppe Petrai
nm0087704,Alessandro Blasetti
nm0143333,Mario Caserini
nm0303120,Carmine Gallone
nm1481994,Giuseppe Orioli
nm0154352,Emile Chautard
nm0782703,Franz Seitz
nm0396789,Jacques Houssin
nm1282639,Armando Carbone
nm2522802,Umberto Fracchia
nm0312866,Augusto Genina
nm0535957,Luigi Maggi
nm0018136,Goffredo Alessandrini
nm0160108,Christian-Jaque
nm0321392,Giuseppe Giusti
nm1301712,Ubaldo Pittei
nm0595804,Léonide Moguy
nm0620587,Mario Nalpas
nm0784988,Gustavo Serena
nm0434934,William Kahn
nm0309163,Louis J. Gasnier
nm0144677,Renato Castellani
nm0673773,Ivo Perilli
nm0215516,Ubaldo Maria Del Colle
nm0173774,Luca Comerio
nm0469170,Uwe Jens Krafft
nm0109264,Guido Brignone
nm0107543,Herbert Brenon
nm0389275,Wolfgang Hoffmann-Harnisch
nm0563651,Pier Angelo Mazzolotti
nm0414985,Georg Jacoby
nm0209738,Giuseppe de Liguoro
nm0928910,Carl Wilhelm
nm0266080,Ugo Falena
nm0421297,Ellen Jens
nm0227602,Robert Dinesen
nm0131460,Mario Camerini
nm0643138,Max Obal
nm1483832,Claudio Fino
nm0818423,Jaap Speyer
