film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Anita o il romanzo d'amore dell'eroe dei due mondi,1927,Italy,nm0207362,February,1927,Italy,Sphinx,"nm0080697, nm1298749, nm0168093, nm0209740, nm1292464, nm0899262",tt0175645
Una tragedia al cinematografo,1913,Italy,nm0345500,June,1913,Italy,Società Italiana Cines,"nm0144663, nm0526921, nm0579618",tt0963348
Il fango e le stelle,1921,Italy,nm0563651,July,1921,Italy,Fert Film,"nm0021935, nm0082101, nm0664698, nm0757369",tt0197453
Cuore di sorella,1912,Italy,,November,1912,Italy,Società Italiana Cines,"nm0381428, nm0557831, nm0682204",tt1031565
Paraninfo,1934,Italy,nm0657535,January,1940,USA,Ventura,"nm0615604, nm0030601, nm0266928, nm0307197, nm0677779, nm0683647, nm0025134, nm1547890, nm1021252, nm0173049, nm1560231, nm0219166, nm0322388, nm0414294, nm0891614",tt0025626
Ritrovarsi,1947,Italy,nm0657509,,,,Excelsior Film,"nm0209740, nm0684841, nm0033982, nm0780002",tt0039773
Die vertauschte Braut,1925,Germany,nm0928910,October,1925,Germany,Phoebus-Film AG,"nm0944290, nm0440986, nm0373928, nm0414293, nm0254012, nm0036324, nm0082101, nm1876283, nm0308460, nm0317209, nm0356822, nm0361880, nm0681620, nm0844227, nm1878670",tt0132598
La donna di cuori,1917,Italy,nm0624511,January,1917,Italy,Tiber-film,"nm0138479, nm0144302, nm0381428, nm0526921",tt1063609
Cola di Rienzo,1911,Italy,,,1911,Italy,Film d'Arte Italiana,"nm0078116, nm0518359, nm1011921",tt1065401
Frou-Frou,1918,Italy,nm0207107,March,1918,Italy,Caesar Film,"nm0078116, nm0207107, nm0286480, nm0312909, nm0784988, nm0872195",tt0174669
Anima tormentata,1919,Italy,nm0143333,February,1919,Italy,Tiber-film,"nm0137706, nm0172822, nm0352120, nm0414294, nm0553335",tt1041688
La piccola parrocchia,1923,Italy,nm0021933,March,1923,Italy,Alba Film,"nm0021935, nm0637019, nm0172822, nm0487727, nm0082101, nm0603386, nm0682544, nm0312553, nm0315586, nm0583972, nm0490726",tt0215057
